# HI-Small_accounts.csv(IBM AMLworld)에서 추출한 은행 참조 — HI-Small 재생 전용(HI-Large는 같은 코드에 다른 이름). country는 "<Country> Bank #N" 형식에서만 추출
bank_id,name,country
1,Arbor Savings Bank,
3,China Bank #14,China
4,China Bank #3,China
5,UK Bank #0,UK
6,India Bank #0,India
7,India Bank #25,India
8,Canada Bank #12,Canada
9,Russia Bank #16,Russia
10,National Bank of Laramie,
11,Finland Bank #0,Finland
12,National Bank of the East,
14,China Bank #13,China
15,Japan Bank #0,Japan
16,India Bank #32,India
19,Australia Bank #3,Australia
20,China Bank #6,China
21,Japan Bank #18,Japan
22,Germany Bank #65,Germany
23,Germany Bank #18,Germany
24,Japan Bank #41,Japan
26,UK Bank #32,UK
27,Mexico Bank #8,Mexico
28,Australia Bank #0,Australia
29,Brazil Bank #10,Brazil
70,Oasis Thrift,
71,India Bank #2,India
110,Brazil Bank #7,Brazil
112,Switzerland Bank #11,Switzerland
113,Israel Bank #1,Israel
115,Brazil Bank #6,Brazil
116,Switzerland Bank #9,Switzerland
117,Switzerland Bank #10,Switzerland
118,Switzerland Bank #8,Switzerland
119,Israel Bank #6,Israel
121,Saudi Arabia Bank #6,Saudi Arabia
124,Crytpo Bank #4,Crytpo
126,Crytpo Bank #5,Crytpo
210,Canada Bank #27,Canada
211,UK Bank #29,UK
212,UK Bank #7,UK
213,Mexico Bank #0,Mexico
214,Canada Bank #26,Canada
217,Israel Bank #5,Israel
220,National Bank of Pittsburgh,
222,Saudi Arabia Bank #5,Saudi Arabia
223,Saudi Arabia Bank #4,Saudi Arabia
225,Crytpo Bank #9,Crytpo
287,Russia Bank #63,Russia
410,Germany Bank #126,Germany
513,National Bank of New Orleans,
701,First Bank of Springfield,
795,First Bank of Montpelier,
908,Plandor Savings Bank,
1024,France Bank #51,France
1047,Flagstone Federal Bank,
1068,National Bank of Detroit,
1124,First Bank of Plattsburg,
1132,Mexico Bank #16,Mexico
1198,Israel Bank #7,Israel
1241,Flagstone Bancorp,
1244,Bank of Arkadelphia,
1267,China Bank #2,China
1292,Savings Bank of Seattle,
1299,France Bank #40,France
1362,Golden Bancorp,
1411,Bank of the South,
1412,First Bank of Indianapolis,
1420,Golden Bancorp,
1457,National Bank of Helena,
1467,Plandor Trust Bank,
1490,Italy Bank #95,Italy
1501,Germany Bank #239,Germany
1502,Portugal Bank #43,Portugal
1522,Spain Bank #23,Spain
1547,Italy Bank #49,Italy
1588,National Bank of Boston,
1601,Acme Cooperative Bank,
1655,Germany Bank #10,Germany
1665,Savings Bank of Los Angeles,
1669,Germany Bank #38,Germany
1674,Savings Bank of Topeka,
1686,Brownstone Credit Union,
1688,Arbor Thrift,
1729,Willows Bancorp,
1853,Bank of New York,
1916,Slovakia Bank #106,Slovakia
2053,First Bank of Tampa,
2385,Hearthstone Savings Bank,
2439,Savings Bank of Huron,
2454,Spruce Community Bank,
2467,Germany Bank #88,Germany
2591,France Bank #75,France
2627,Mountain Trust Bank,
2824,Future Cooperative Bank,
2843,Sappo Bancorp,
2845,Sea Bank,
2915,France Bank #85,France
2947,Savings Bank of Butte,
2952,Sunrise Credit Union,
2991,Savings Bank of Sacramento,
3045,Austria Bank #20,Austria
3051,Acme Community Bank,
3123,Spain Bank #64,Spain
3144,Savings Bank of Phoenix,
3149,Acme Federal Bank,
3198,National Bank of Madison,
3199,Savings Bank of Houston,
3204,Spain Bank #437,Spain
3206,Bank of Watertown,
3208,Sappo Cooperative Bank,
3209,National Bank of Fort Wayne,
3210,Fieldstone Trust Bank,
3211,Savings Bank of Houston,
3212,Savings Bank of Arkadelphia,
3214,Belgium Bank #3886,Belgium
3216,Italy Bank #4211,Italy
3218,Latvia Bank #130,Latvia
3219,Finland Bank #4339,Finland
3220,Italy Bank #4364,Italy
3221,Belgium Bank #142,Belgium
3223,Greece Bank #136,Greece
3224,Germany Bank #156,Germany
